Name, RA, DE, Redshift, Vlsr, DistMpc, Re, R50, incl, PA, logMstar, logSFR, logOH, AGN
CGCG429-012, 339.20767386, 14.38699880, 0.01746007, 5238.02100000, 75.86498914, 5.32224000, 2.65537304, 68.48739863, -40.83782872, 10.46634324, -1.70503333, NaN, 0.00000000
IC1079, 224.15057780, 9.36979338, 0.02906513, 8719.53900000, 127.42529004, 19.34064000, 9.20044500, 55.50134937, -9.70213309, 11.28240459, -1.59813963, NaN, 0.00000000
IC1528, 1.27229170, -7.09341844, 0.01250595, 3751.78500000, 54.12933518, 16.94880000, 6.11452355, 66.89475667, -18.45233575, 10.47105839, 0.21125767, 8.5512107, 0.00000000
IC1755, 29.29076732, 14.55000051, 0.02615367, 7846.10100000, 114.40542509, 13.49568000, 8.85214182, 78.86817564, 63.89237516, 11.02871820, -0.27437911, 8.5458226, 0.00000000
IC2101, 72.92498270, -6.23063392, 0.01496317, 4488.95100000, 64.88944829, 14.09760000, 8.54280620, 78.96453112, 55.10817003, 10.49975219, 0.52075622, 8.4813599, 0.00000000
IC2341, 125.92263086, 21.43488219, 0.01695027, 5085.08100000, 73.62067054, 7.99524000, 2.66066937, 59.69901780, -36.46209548, 10.69917374, -1.18521325, NaN, 0.00000000
IC3598, 189.33779689, 28.20824336, 0.02546977, 7640.93100000, 111.35525424, 10.89396000, 6.17026273, 66.84073408, 47.82572127, 10.99003749, -0.13017086, 8.533733, 0.00000000
IC5309, 349.79842784, 8.10939412, 0.01353349, 4060.04700000, 58.62395553, 13.30956000, 5.16291675, 56.83522769, -53.84628174, 10.89346398, 0.30704782, 8.5471928, 0.00000000
MCG-01-01-012, 359.79487679, -4.19152649, 0.01882879, 5648.63700000, 81.89921308, 11.19888000, 6.65691212, 77.94909147, -20.33228903, 10.97825295, -0.17737126, NaN, 0.00000000
MCG-01-09-006, 47.20115505, -7.04051146, 0.02890036, 8670.10800000, 126.68694391, 14.19660000, 14.05283297, 76.13226790, -75.01064666, 11.02537285, 0.57057579, 8.5555404, 0.00000000
MCG-01-10-015, 54.66301773, -5.34734947, 0.01342727, 4028.18100000, 58.15900242, 11.76516000, 5.47860722, 73.39927375, -14.92672874, 10.04979785, -0.15961732, 8.5752068, 0.00000000
MCG-01-10-019, 55.17907143, -6.41503307, 0.01745131, 5235.39300000, 75.82640979, 16.65576000, 10.04786635, 59.11464664, -53.91207018, 10.43776665, -0.02400658, 8.5395804, 0.00000000
MCG-01-52-012, 309.45821400, -6.09076913, 0.01270429, 3811.28700000, 54.99635016, 4.47876000, 1.47710600, 41.27904390, -31.95112188, 10.45544953, -1.51886381, NaN, 0.00000000
MCG-02-02-030, 7.53057161, -11.11362947, 0.01178730, 3536.19000000, 50.99008497, 13.86396000, 4.66169190, 70.26630595, 80.38338170, 10.52078603, -0.10009156, 8.5762666, 2.00000000
MCG-02-51-004, 303.91616428, -13.62215191, 0.01875876, 5627.62800000, 81.59016911, 15.80040000, 7.58590846, 69.06924549, 70.12826746, 11.03852744, 0.74908474, 8.5316565, 0.00000000
NGC0001, 1.81603449, 27.70826014, 0.01496272, 4488.81600000, 64.88747402, 9.18324000, 3.12241193, 48.10527364, 13.42315012, 10.88851983, 0.71145086, 8.5796841, 0.00000000
NGC0036, 2.84261621, 6.38949672, 0.01992489, 5977.46700000, 86.74061517, 19.33668000, 12.11592384, 50.55145671, 11.00673822, 11.12472315, 0.45931433, 8.5673275, 0.00000000
NGC0155, 8.66698572, -10.76646147, 0.02053341, 6160.02300000, 89.43188621, 13.54716000, 4.58489818, 35.48493309, 64.49378904, 11.05969005, -1.53423465, NaN, 0.00000000
NGC0169, 9.21552152, 23.99038812, 0.01533800, 4601.40000000, 66.53439914, 19.41984000, 9.40582561, 55.96919354, 10.50134664, 11.19995130, 0.48245346, 8.5822482, 3.00000000
NGC0171, 9.33982247, -19.93420956, 0.01276552, 3829.65600000, 55.26406202, 15.80832000, 7.01321762, 61.89454239, 20.39057516, 10.78837169, -0.10652941, 8.5372435, 0.00000000
NGC0180, 9.49030789, 8.63516467, 0.01742606, 5227.81800000, 75.71521079, 20.19204000, 13.24296481, 51.58542871, 39.51778874, 11.16624268, 0.35035705, 8.5611597, 0.00000000
NGC0192, 9.80595916, 0.86406597, 0.01383567, 4150.70100000, 59.94709381, 13.90356000, 5.53760892, 73.43285959, 75.00232016, 10.93421893, 0.54841648, 8.5173252, 0.00000000
NGC0237, 10.86594293, -0.12506572, 0.01366569, 4099.70700000, 59.20273631, 11.05236000, 3.89700296, 47.03621940, 42.88643025, 10.55021255, 0.41870293, 8.567814, 0.00000000
NGC0364, 16.17007939, -0.80267062, 0.01698982, 5096.94600000, 73.79472101, 9.04068000, 3.02186304, 44.99395192, -58.71868544, 10.82018287, -1.77886109, NaN, 0.00000000
NGC0429, 18.23924910, -0.34492356, 0.01901100, 5703.30000000, 82.70346414, 7.13988000, 3.91617881, 77.42632142, -73.13022104, 10.80730749, -1.08201656, NaN, 0.00000000
NGC0548, 21.51038847, -1.22557188, 0.01785140, 5355.42000000, 77.58894628, 7.13988000, 2.47559253, 33.20295692, 58.72003601, 10.66760944, -2.10605361, NaN, 0.00000000
NGC0570, 22.24427196, -0.94895177, 0.01841052, 5523.15600000, 80.05386707, 10.80684000, 4.45752987, 45.49474572, 19.12407924, 10.88619220, -0.54930011, NaN, 0.00000000
NGC0675, 27.28584989, 13.05976138, 0.01753168, 5259.50400000, 76.18038143, 12.92940000, 7.86419064, 79.23368531, -2.23154797, 10.50153243, -0.81863418, NaN, 0.00000000
NGC0693, 27.62909677, 6.14496833, 0.00497958, 1493.87400000, 21.42567186, 11.58300000, 1.66320922, 68.75476511, 15.76675393, 10.11494657, -0.17655592, 8.4212477, 0.00000000
NGC0731, 28.73408281, -9.01071760, 0.01295583, 3886.74900000, 56.09630340, 10.41876000, 2.24642439, 18.77093911, 33.03778394, 10.89823575, -1.80024790, NaN, 0.00000000
NGC0768, 29.67032957, 0.52966913, 0.02308301, 6924.90300000, 100.73483479, 15.58656000, 12.35212671, 75.18417169, -68.47445463, 10.89777816, 0.68897304, 8.5207139, 0.00000000
NGC0774, 29.89464921, 14.00823743, 0.01521035, 4563.10500000, 65.97409764, 13.31213729, 3.35720979, 45.48938176, 75.98082928, 10.86839656, -0.75801403, NaN, 0.00000000
NGC0776, 29.97711036, 23.64440977, 0.01623173, 4869.51900000, 70.46037284, 13.28184000, 6.82732652, 43.99486920, 38.11063760, 10.98720661, 0.55570265, 8.5924871, 0.00000000
NGC0810, 31.36921953, 13.25148670, 0.02580019, 7740.05700000, 112.82852697, 13.55508000, 7.85512673, 49.74495370, -62.72506382, 11.33226568, -0.63418569, NaN, 0.00000000
NGC0825, 32.13450592, 6.32392178, 0.01103957, 3311.87100000, 47.72751085, 2.01960000, 1.06920520, 68.24211615, -37.15182803, 10.60765931, -0.94460476, NaN, 0.00000000
NGC0932, 36.97787087, 20.33252052, 0.01358529, 4075.58700000, 58.85072548, 16.42608000, 3.70075722, 29.35406433, -15.56491669, 11.03960116, -0.43898072, NaN, 0.00000000
NGC0938, 37.13962461, 20.28375317, 0.01344940, 4034.82000000, 58.25586502, 9.83664000, 2.61275136, 46.32964979, 3.28979734, 10.94149622, -1.08179442, NaN, 0.00000000
NGC0955, 37.63828349, -1.10860907, 0.00488578, 1465.73400000, 21.02051657, 9.36540000, 1.61065373, 78.54636869, -71.72359164, 10.22949658, -1.13967645, NaN, 0.00000000
NGC0962, 38.16582686, 28.07006979, 0.01527385, 4582.15500000, 66.25280813, 10.95336000, 3.27896178, 44.64394392, 33.46778412, 11.14283441, -1.43771031, NaN, 0.00000000
NGC1026, 39.83001212, 6.54401741, 0.01385761, 4157.28300000, 60.04318522, 15.23808000, 3.51554127, 34.95783306, 14.10870058, 10.94665290, -1.96345530, NaN, 0.00000000
NGC1056, 40.70165048, 28.57411793, 0.00513257, 1539.77100000, 22.08661806, 7.90020000, 0.92911171, 36.86792680, 47.19276473, 10.31299759, 0.14224025, 8.4687631, 0.00000000
NGC1070, 40.84249423, 4.96838106, 0.01350266, 4050.79800000, 58.48899660, 17.74872000, 5.43146055, 39.56362544, -3.96755949, 11.10866216, 0.36771452, 8.5710371, 0.00000000
NGC1094, 41.86586848, -0.28513638, 0.02138836, 6416.50800000, 93.21722255, 9.38916000, 4.51554366, 46.34327812, -1.12669387, 10.98038979, 0.71960310, 8.6039369, 0.00000000
NGC1324, 51.25724633, -5.74553960, 0.01879086, 5637.25800000, 81.73182305, 15.72120000, 10.16079710, 77.14161838, 50.38690116, 11.15819516, 0.57596634, 8.5387734, 0.00000000
NGC1349, 52.86459931, 4.38090813, 0.02180995, 6542.98500000, 95.08563640, 14.13324000, 5.09170447, 27.17955452, -28.17620007, 11.24660018, -0.15078804, 8.5180636, 0.00000000
NGC1361, 53.57385500, -6.26496739, 0.01753972, 5261.91600000, 76.21579420, 10.28808000, 3.53310398, 41.12980474, -44.16276768, 10.79797883, -1.24631539, NaN, 0.00000000
NGC1542, 64.30905489, 4.78166877, 0.01234866, 3704.59800000, 53.44195329, 9.52776000, 3.40204641, 69.39784531, 38.59373691, 10.61648199, -0.11142700, 8.5413871, 0.00000000
NGC1645, 71.02656538, -5.46554925, 0.01603228, 4809.68400000, 69.58376359, 14.08968000, 4.44942327, 61.93907082, -3.15491065, 10.83495792, -0.41765482, 8.5434998, 0.00000000
NGC1656, 71.47230061, -5.13643328, 0.01238897, 3716.69100000, 53.61809836, 12.72744000, 3.10140951, 59.19495240, 34.63939734, 10.69650266, -1.72777944, NaN, 0.00000000
NGC1659, 71.62461259, -4.78922259, 0.01526476, 4579.42800000, 66.21290917, 12.29976000, 4.84598205, 51.01623559, -31.32196482, 10.66223057, 0.57131198, 8.5741992, 0.00000000
NGC1665, 72.07105525, -5.42767117, 0.00907568, 2722.70400000, 39.17647471, 17.35668000, 4.07148644, 57.87508822, -41.88167080, 10.43921846, -2.31022271, NaN, 0.00000000
NGC1666, 72.13680371, -6.56995842, 0.00915295, 2745.88500000, 39.51242491, 10.31580000, 1.85570364, 27.29039522, 7.18568436, 10.50709986, -1.40835086, 8.6702781, 0.00000000
NGC1667, 72.15456484, -6.31995973, 0.01504890, 4514.67000000, 65.26559306, 12.34728000, 5.34634713, 52.07135030, 66.19136774, 11.14700153, 1.14033791, 8.5753293, 2.00000000
NGC2449, 116.83455162, 26.93031107, 0.01625989, 4877.96700000, 70.58416135, 12.85812000, 6.00609356, 72.28264638, 40.89833154, 10.85823964, 0.02514911, 8.5812256, 0.00000000
NGC2513, 120.60273702, 9.41360838, 0.01565825, 4697.47500000, 67.94057389, 19.23372000, 4.08955471, 37.85487520, 78.95702941, 11.07199242, -1.42900835, NaN, 0.00000000
NGC2522, 121.55587680, 17.70661277, 0.01555996, 4667.98800000, 67.50892225, 7.17948000, 3.16440351, 69.57111773, -55.53696498, 10.99033455, -0.95447189, NaN, 0.00000000
NGC2530, 121.98190312, 17.81837687, 0.01653164, 4959.49200000, 71.77902102, 15.93900000, 8.35678474, 43.63979880, 30.21035935, 10.45777261, 0.19557288, 8.4815565, 0.00000000
NGC2540, 123.19350278, 26.36184827, 0.02082438, 6247.31400000, 90.71962168, 15.42420000, 7.22087269, 52.45031855, 36.54752969, 10.67460715, 0.50240421, 8.536522, 0.00000000
NGC2554, 124.47310231, 23.47220205, 0.01350734, 4052.20200000, 58.50948298, 17.50320000, 4.61050436, 45.48163273, 65.51760301, 11.13002877, -0.04346495, NaN, 2.00000000
NGC2592, 126.78353074, 25.97035234, 0.00642319, 1926.95700000, 27.66867874, 7.61904000, 0.82427691, 33.78317014, -35.26356512, 10.33418863, -2.06531921, NaN, 0.00000000
NGC2595, 126.92494461, 21.47908917, 0.01413082, 4239.24600000, 61.24004480, 24.12828000, 14.90590477, 55.44878874, 10.83356633, 10.77496599, 0.16420215, 8.5305429, 0.00000000
NGC2596, 126.86026726, 17.28399658, 0.01976603, 5929.80900000, 86.03844159, 11.65428000, 8.62816437, 71.78397843, -28.57330444, 10.82144333, 0.64800354, 8.5786076, 0.00000000
NGC3300, 159.16011930, 14.17114665, 0.01003774, 3011.32200000, 43.36214850, 13.30560000, 3.02538443, 61.14488713, 82.02744648, 10.60080854, -2.32880810, NaN, 0.00000000
NGC4003, 179.49596220, 23.12492695, 0.02183568, 6550.70400000, 95.19970582, 9.41292000, 5.21588839, 62.24592944, 59.81780288, 10.99156636, 0.26424961, 8.5566581, 0.00000000
NGC4816, 194.05055728, 27.74553141, 0.02310601, 6931.80300000, 100.83699686, 20.35836000, 9.16241387, 39.16282675, -10.67045666, 11.10847092, -1.61663869, NaN, 0.00000000
NGC4841A, 194.38316376, 28.47706094, 0.02254247, 6762.74100000, 98.33486675, 13.67784000, 7.84335091, 30.17489487, 19.06285020, 11.21803401, -1.36818982, NaN, 0.00000000
NGC5928, 231.51193998, 18.07371847, 0.01484501, 4453.50300000, 64.37109638, 12.63636000, 3.69050054, 47.35108086, 10.96440398, 10.93724172, -1.76792745, NaN, 0.00000000
NGC5954, 233.64552212, 15.20018169, 0.00641132, 1923.39600000, 27.61728822, 14.69952000, 2.71342565, 59.52851784, -65.13449750, 10.06837529, 0.22003529, 8.5299217, 0.00000000
NGC5957, 233.84676010, 12.04765475, 0.00598429, 1795.28700000, 25.76912183, 22.98780000, 3.56198176, 47.45795121, 1.57605970, 10.13201714, -0.59185322, 8.5717664, 0.00000000
NGC6020, 239.28386927, 22.40463505, 0.01437121, 4311.36300000, 62.29354503, 11.59092000, 2.77805011, 41.06902964, 47.93936292, 10.90346320, -1.90366013, NaN, 0.00000000
NGC6132, 245.91174335, 11.78720940, 0.01663352, 4990.05600000, 72.22710601, 11.88792000, 5.64924906, 70.56198456, 36.38072780, 10.41729187, 0.27855771, 8.5222952, 0.00000000
NGC6427, 265.91076140, 25.49393604, 0.01080588, 3241.76400000, 46.70862551, 8.87832000, 3.07088463, 71.06300609, -54.72575799, 10.75017055, -1.98090897, NaN, 0.00000000
